"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"14974";"138";"411";"160";"3452";"-1484";"15212"
"14975";"160";"441";"122";"3432";"-1512";"15232"
"14976";"169";"396";"157";"3436";"-1460";"15260"
"14977";"167";"424";"129";"3396";"-1472";"15160"
"14978";"166";"411";"143";"3384";"-1476";"15200"
"14979";"134";"400";"153";"3392";"-1456";"15348"
"14980";"147";"401";"146";"3464";"-1512";"15320"
"14981";"179";"407";"144";"3448";"-1504";"15196"
"14982";"179";"426";"143";"3456";"-1504";"15220"
"14983";"173";"405";"105";"3456";"-1480";"15228"
"14984";"147";"434";"150";"3408";"-1484";"15244"
"14985";"198";"400";"123";"3380";"-1500";"15240"
"14986";"194";"381";"145";"3464";"-1444";"15200"
"14987";"184";"408";"121";"3436";"-1484";"15112"
"14988";"154";"426";"152";"3400";"-1480";"15216"
"14989";"221";"356";"171";"3532";"-1380";"15588"
"14990";"110";"394";"128";"3436";"-1504";"15192"
"14991";"237";"401";"160";"3444";"-1744";"15124"
"14992";"127";"414";"104";"3440";"-1304";"15000"
"14993";"129";"426";"143";"3456";"-1340";"15484"
"14994";"143";"405";"138";"3408";"-1784";"15088"
"14995";"214";"360";"164";"3392";"-1236";"15488"
"14996";"136";"443";"93";"3472";"-1612";"14892"
"14997";"138";"397";"140";"3576";"-1412";"15240"
"14998";"148";"381";"152";"3416";"-1348";"15612"
"14999";"115";"427";"114";"3460";"-1560";"14980"
"15000";"194";"412";"125";"3100";"-1304";"15176"
"15001";"89";"386";"137";"3356";"-844";"15424"
"15002";"182";"371";"103";"3344";"-1452";"15108"
"15003";"149";"399";"128";"3396";"-1560";"14860"
"15004";"172";"405";"146";"3400";"-1508";"15172"
"15005";"169";"421";"142";"3372";"-1484";"15280"
"15006";"178";"392";"132";"3476";"-1516";"15332"
"15007";"165";"403";"158";"3540";"-1424";"15296"
"15008";"186";"382";"139";"3548";"-1624";"15220"
"15009";"137";"410";"126";"3428";"-1480";"15348"
"15010";"170";"417";"122";"3428";"-1476";"15144"
"15011";"189";"425";"116";"3496";"-1448";"15232"
"15012";"137";"390";"155";"3260";"-1540";"14696"
"15013";"192";"376";"148";"3436";"-1348";"15272"
"15014";"183";"402";"160";"3364";"-1504";"15208"
"15015";"170";"418";"151";"3484";"-1460";"15156"
"15016";"186";"380";"174";"3424";"-1788";"15240"
"15017";"161";"398";"134";"3412";"-1364";"15116"
"15018";"168";"394";"151";"3412";"-1632";"15168"
"15019";"177";"436";"131";"3476";"-1360";"15296"
"15020";"193";"433";"129";"3416";"-1512";"15196"
"15021";"128";"419";"130";"3372";"-1428";"15312"
"15022";"163";"415";"132";"3484";"-1352";"15152"
"15023";"118";"408";"120";"3412";"-1572";"15340"
"15024";"176";"407";"97";"3436";"-1488";"15236"
"15025";"161";"373";"139";"3492";"-1436";"15216"
"15026";"161";"393";"107";"3372";"-1388";"15568"
"15027";"156";"386";"151";"3468";"-1508";"15184"
"15028";"163";"420";"148";"3328";"-1532";"15172"
"15029";"158";"438";"161";"3456";"-1752";"15208"
"15030";"146";"396";"155";"3424";"-1368";"15276"
"15031";"150";"387";"135";"3456";"-1440";"15224"
"15032";"107";"425";"133";"3480";"-1284";"15072"
"15033";"161";"393";"141";"3372";"-1328";"15328"
"15034";"146";"379";"126";"3520";"-1444";"15260"
"15035";"160";"418";"142";"3328";"-1384";"15232"
"15036";"168";"406";"145";"3472";"-1412";"15304"
"15037";"171";"390";"113";"3348";"-1472";"15268"
"15038";"184";"395";"103";"3412";"-1468";"15256"
"15039";"167";"392";"116";"3372";"-1464";"15148"
"15040";"156";"390";"117";"3444";"-1332";"15244"
"15041";"182";"403";"157";"3404";"-1492";"15276"
"15042";"167";"410";"124";"3432";"-1472";"15188"
"15043";"164";"409";"146";"3372";"-1532";"15248"
"15044";"165";"380";"127";"3364";"-1464";"15272"
"15045";"144";"410";"157";"3492";"-1288";"15244"
"15046";"147";"421";"119";"3464";"-1508";"15252"
"15047";"145";"419";"118";"3400";"-1512";"15276"
"15048";"167";"377";"136";"3116";"-1600";"16092"
"15049";"123";"434";"142";"3420";"-1320";"15296"
"15050";"181";"355";"150";"3432";"-1548";"15052"
"15051";"177";"407";"187";"3536";"-1428";"15148"
"15052";"165";"374";"115";"3440";"-1524";"15252"
"15053";"165";"468";"150";"3452";"-1632";"15180"
"15054";"123";"352";"111";"3200";"-1692";"15292"
"15055";"169";"399";"154";"3524";"-1420";"15408"
"15056";"138";"406";"113";"3528";"-1500";"15084"
"15057";"221";"398";"127";"3396";"-1488";"15192"
"15058";"113";"384";"121";"3440";"-1520";"15252"
"15059";"167";"423";"135";"3416";"-1504";"15192"
"15060";"161";"417";"140";"3500";"-1508";"15268"
"15061";"178";"414";"139";"3448";"-1440";"15168"
"15062";"161";"387";"151";"3428";"-1504";"15204"
"15063";"170";"419";"132";"3432";"-1484";"15208"
"15064";"153";"416";"107";"3472";"-1528";"15220"
"15065";"158";"405";"128";"3412";"-1472";"15288"
"15066";"152";"403";"125";"3472";"-1456";"15280"
"15067";"152";"383";"138";"3428";"-1460";"15212"
"15068";"168";"391";"120";"3472";"-1528";"15316"
"15069";"179";"372";"146";"3376";"-1488";"15240"
"15070";"152";"408";"136";"3484";"-1480";"15132"
"15071";"156";"405";"125";"3428";"-1480";"15272"
"15072";"171";"408";"118";"3476";"-1760";"15212"
"15073";"155";"410";"133";"3404";"-1448";"15180"
"15074";"153";"411";"132";"3424";"-1484";"15220"
"15075";"144";"423";"103";"3480";"-1328";"15216"
"15076";"162";"432";"122";"3404";"-1300";"15232"
"15077";"171";"418";"128";"3460";"-1524";"15232"
"15078";"163";"379";"138";"3420";"-1384";"15192"
"15079";"166";"407";"126";"3428";"-1468";"15352"
"15080";"158";"386";"134";"3448";"-1476";"15212"
"15081";"132";"425";"124";"3464";"-1492";"15160"
"15082";"155";"370";"144";"3428";"-1472";"15236"
"15083";"147";"433";"125";"3444";"-1484";"15324"
"15084";"167";"393";"135";"3392";"-1524";"15160"
"15085";"135";"417";"145";"3488";"-1472";"15284"
"15086";"168";"408";"134";"3400";"-1472";"15152"
"15087";"145";"387";"131";"3448";"-1496";"15232"
"15088";"148";"414";"131";"3436";"-1464";"15260"
"15089";"212";"566";"66";"3776";"-1472";"15004"
"15090";"186";"330";"166";"3012";"-1496";"15248"
"15091";"148";"353";"120";"3424";"-1704";"15204"
"15092";"190";"763";"162";"3172";"-1456";"14976"
"15093";"214";"406";"135";"3580";"-1416";"15184"
"15094";"510";"418";"157";"2928";"-1028";"15572"
"15095";"-22";"408";"130";"3668";"-1060";"15288"
"15096";"178";"327";"147";"3168";"-1900";"268"
"15097";"-184";"252";"170";"4312";"-1912";"14032"
"15098";"58";"455";"101";"3488";"-1960";"14868"
"15099";"108";"316";"99";"3940";"-2000";"14972"
"15100";"374";"471";"158";"3472";"-856";"15788"
"15101";"858";"758";"94";"2560";"-3140";"13860"
"15102";"0";"264";"258";"4716";"-788";"15272"
"15103";"-158";"486";"18";"3312";"-984";"15868"
"15104";"-7";"233";"185";"3236";"-1140";"15860"
"15105";"92";"436";"80";"3276";"-1452";"15284"
"15106";"151";"355";"152";"3564";"-1472";"15072"
"15107";"139";"460";"151";"3532";"-1508";"15136"
"15108";"192";"370";"112";"3448";"-1408";"15240"
"15109";"174";"420";"152";"3452";"-1388";"15200"
"15110";"179";"399";"118";"3352";"-1444";"15208"
"15111";"162";"415";"151";"3452";"-1496";"15200"
"15112";"152";"407";"138";"3448";"-1428";"15164"
"15113";"165";"388";"139";"3456";"-1436";"15260"
"15114";"147";"414";"160";"3260";"-1792";"15188"
"15115";"152";"415";"145";"3432";"-1464";"15232"
"15116";"123";"419";"112";"3332";"-1288";"15180"
"15117";"185";"407";"150";"3432";"-1344";"15304"
"15118";"112";"386";"122";"3532";"-1396";"14868"
"15119";"189";"417";"117";"3400";"-1624";"14896"
"15120";"191";"402";"147";"3448";"-1384";"15544"
"15121";"160";"408";"138";"3392";"-1480";"15176"
"15122";"171";"406";"133";"3420";"-1432";"15308"
"15123";"184";"407";"165";"3376";"-1448";"15220"
"15124";"150";"404";"140";"3436";"-1476";"15136"
"15125";"179";"435";"168";"3408";"-1464";"15108"
"15126";"125";"390";"105";"3408";"-1456";"15272"
"15127";"141";"428";"162";"3388";"-1436";"15212"
"15128";"171";"434";"116";"3404";"-1500";"15212"
"15129";"171";"410";"132";"3400";"-1432";"15260"
"15130";"173";"401";"153";"3400";"-1456";"15128"
"15131";"178";"405";"129";"3428";"-1440";"15256"
"15132";"158";"398";"120";"3412";"-1408";"15268"
"15133";"166";"407";"147";"3436";"-1448";"15200"
"15134";"169";"439";"138";"3444";"-1448";"15184"
"15135";"171";"395";"133";"3468";"-1448";"15208"
"15136";"174";"397";"139";"3428";"-1448";"15184"
"15137";"177";"425";"140";"3400";"-1440";"15240"
"15138";"160";"409";"165";"3396";"-1472";"15208"
"15139";"178";"411";"153";"3456";"-1452";"15220"
"15140";"174";"389";"141";"3412";"-1448";"15216"
"15141";"151";"425";"124";"3396";"-1412";"15192"
"15142";"164";"410";"131";"3428";"-1404";"15200"
"15143";"151";"421";"147";"3384";"-1480";"15264"
"15144";"151";"407";"155";"3476";"-1452";"15184"
"15145";"162";"417";"105";"3368";"-1484";"15172"
"15146";"169";"424";"157";"3356";"-1440";"15228"
"15147";"140";"390";"118";"3360";"-1508";"14856"
"15148";"159";"396";"154";"3464";"-1452";"15272"
"15149";"171";"431";"122";"3444";"-1480";"15144"
"15150";"164";"431";"161";"3456";"-1428";"15292"
"15151";"151";"414";"122";"3416";"-1408";"15280"
"15152";"163";"429";"135";"3420";"-1460";"15196"
"15153";"148";"389";"116";"3388";"-1448";"15276"
"15154";"138";"429";"146";"3412";"-1444";"15272"
"15155";"138";"386";"141";"3372";"-1444";"15204"
"15156";"171";"406";"134";"3356";"-1424";"15280"
"15157";"188";"404";"131";"3400";"-1392";"15200"
"15158";"147";"402";"126";"3424";"-1416";"15184"
"15159";"132";"409";"122";"3376";"-1456";"15224"
"15160";"174";"392";"152";"3452";"-1416";"15228"
"15161";"137";"422";"142";"3496";"-1436";"15176"
"15162";"173";"392";"129";"3460";"-1448";"15348"
"15163";"143";"429";"122";"3444";"-1472";"15160"
"15164";"188";"426";"101";"3476";"-1420";"15252"
"15165";"173";"390";"137";"3472";"-1468";"15200"
"15166";"179";"403";"115";"3428";"-1456";"15200"
"15167";"149";"408";"148";"3444";"-1468";"15204"
"15168";"155";"424";"129";"3428";"-1436";"15212"
"15169";"153";"409";"141";"3424";"-1440";"15184"
"15170";"180";"423";"151";"3420";"-1440";"15200"
"15171";"163";"375";"121";"3404";"-1488";"15156"
"15172";"170";"392";"151";"3412";"-1416";"15100"
"15173";"170";"409";"111";"3380";"-1488";"15208"
"15174";"199";"386";"139";"3436";"-1472";"15136"
"15175";"182";"405";"148";"3428";"-1456";"15264"
"15176";"153";"397";"147";"3440";"-1520";"15244"
"15177";"148";"426";"170";"3360";"-1492";"15312"
"15178";"155";"404";"124";"3372";"-1472";"15120"
"15179";"140";"414";"165";"3392";"-1484";"15180"
"15180";"175";"407";"107";"3476";"-1456";"15240"
"15181";"189";"399";"142";"3428";"-1452";"15216"
"15182";"158";"416";"140";"3440";"-1468";"15304"
"15183";"171";"430";"116";"3412";"-1444";"15196"
"15184";"184";"404";"108";"3428";"-1456";"15224"
"15185";"161";"404";"158";"3372";"-1444";"15236"
