SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1607733820.67807, -8.036587, 0.061800, -5.616348, 0.069105, 0.383259, 0.194960, 161.147064, -48.677917, -856.222107
1607733820.7553349, -7.576302, -0.018705, -5.812673, 0.020724, 0.671343, 0.257509, 160.876724, -49.906906, -855.408813
1607733820.8333712, -7.823054, -0.064494, -5.860407, 0.124612, 0.440299, 0.067110, 160.655304, -51.273773, -854.547791
1607733820.911273, -8.140884, -0.057461, -6.483049, 0.170554, 1.578412, 0.085501, 160.377380, -52.420395, -853.724121
1607733820.987716, -7.119907, 0.049530, -6.664560, 0.033878, 2.646043, -0.166065, 162.832840, -53.985413, -854.150452
1607733821.0654202, -6.440552, -0.069133, -7.095965, -0.072737, 2.665532, -0.237755, 166.008347, -55.562210, -854.978088
1607733821.1423512, -5.023334, 0.723498, -9.021352, -0.059131, 3.782296, -0.060376, 173.671539, -55.352829, -854.935303
1607733821.219434, -2.841768, 0.244657, -8.990377, -0.413278, 3.378426, -0.276336, 180.606766, -55.377823, -852.760620
1607733821.297163, -1.218649, 0.309151, -9.777471, -0.644148, 4.068153, 0.039857, 186.238266, -54.664291, -850.501953
1607733821.3572512, 1.204283, 0.707487, -9.172336, 0.143864, 2.236820, -0.104446, 192.359863, -53.759537, -844.294983
1607733821.4375849, 4.266767, 0.907103, -9.120262, 0.039338, 2.060453, 0.122518, 198.474976, -51.828979, -834.766724
1607733821.516846, 6.148310, 0.896180, -7.670274, 0.176561, 1.086929, -0.165464, 200.852966, -50.844437, -827.659607
1607733821.597155, 7.015011, 0.698059, -6.200384, 0.197626, 0.689336, -0.210691, 201.270935, -48.094528, -820.704346
1607733821.700508, 7.881562, 0.865205, -6.093991, -0.085065, 0.396965, -0.147643, 201.064484, -45.832138, -817.372803
1607733821.779371, 8.082974, 0.848146, -5.694160, 0.335496, -0.331388, -0.090676, 200.550064, -44.775711, -815.381409
1607733821.859558, 8.400356, 0.629825, -5.767931, 0.193816, 0.127383, -0.076773, 200.007370, -44.382187, -813.713379
1607733821.938088, 8.049306, 0.735618, -5.546467, 0.315042, -0.233945, -0.079117, 200.951080, -44.377731, -814.366516
