time,X_value,Y_value,Z_value
Started:,12월 10 2020,11:20:30:490, 
28.5857,1.24694,2.62671,-22.86942
28.6433,1.51087,2.78077,-23.48697
28.6901,3.20800,2.56409,-22.80103
28.7416,1.46340,1.60517,-22.04759
28.7943,1.48041,2.10921,-21.23964
28.8471,-0.30343,-0.05367,-20.96031
28.8988,-2.62113,-2.78814,-20.91575
28.9568,-2.95665,-1.02223,-21.25336
29.0024,-2.44067,0.11710,-21.49070
29.0571,-2.11512,1.73179,-20.82981
29.1062,-2.10697,1.68770,-20.65014
29.1612,-2.16897,3.13825,-22.04651
29.2109,-2.33977,3.43463,-21.59771
29.2626,-2.21586,2.99866,-22.37779
29.3188,-2.10575,1.18903,-22.93383
29.3654,-1.54940,0.53899,-23.15883
29.4198,-1.60107,1.14490,-24.13123
29.4700,-1.17572,1.09792,-24.84192
29.5290,-0.82746,1.64672,-24.46824
29.5744,-0.84298,2.83450,-23.51014
29.6237,-0.26776,3.28544,-23.92035
29.6755,0.54950,1.04474,-22.64294
29.7346,0.52244,2.16462,-22.14985
29.7798,0.81937,0.51123,-22.42413
29.8320,-0.07922,-1.15701,-22.16735
29.8862,-0.90987,-1.84174,-21.91121
29.9430,-0.87349,-0.78240,-22.06459
29.9907,-0.84554,-0.56086,-21.70293
30.0392,-1.61391,0.51353,-21.28958
30.0932,-2.11981,0.80784,-21.49883
30.1435,-2.81348,0.58786,-21.62217
30.1953,-1.96824,0.29384,-22.54940
30.2475,-1.16619,-0.32264,-22.48838
30.3054,-0.86434,-0.63211,-22.45143
30.3550,-0.38174,-0.59311,-22.32796
30.4072,0.15664,-0.02432,-22.65647
30.4554,0.73273,0.68941,-23.05591
30.5077,0.51366,0.82462,-22.10442
30.5621,0.33494,2.15953,-21.62922
30.6125,0.90574,1.63545,-21.56928
30.6663,1.54820,-0.09469,-20.47342
30.7177,0.12469,-0.07676,-19.68740
30.7683,0.42503,-0.67799,-19.27936
30.8273,-0.48940,-1.41659,-19.25650
30.8717,-1.40586,-1.33027,-19.43174
30.9238,-1.99993,-1.87345,-19.85216
30.9752,-2.14967,-2.31489,-19.54721
31.0317,-2.25887,-1.51753,-19.54007
31.0891,-2.33684,0.30628,-20.06264
31.1318,-2.28802,-0.50824,-20.78722
31.1833,-0.48334,-0.94525,-20.91669
31.2374,-0.19032,-1.94545,-21.49931
31.2874,-0.14298,-3.45781,-22.35800
31.3423,0.59946,-3.22449,-22.58703
31.3910,0.83333,-3.10483,-22.79246
31.4460,1.12047,-2.55011,-22.41655
31.4954,0.34033,-2.13293,-21.32211
31.5475,0.41527,-1.42815,-20.56903
31.6009,2.54758,-1.82827,-19.87032
31.6559,2.01139,-3.23923,-19.16350
31.7077,1.02923,-3.16795,-19.13281
31.7555,1.36805,-3.61614,-18.52872
31.8075,0.40533,-3.57850,-17.80911
31.8594,0.30822,-3.22393,-17.49298
31.9202,0.61777,-2.85642,-17.97663
31.9727,0.87222,-2.25354,-17.81044
32.0154,-0.11005,-1.45028,-18.05556
32.0678,-0.90850,-1.42700,-19.05807
32.1196,-0.16991,-1.52574,-19.71517
32.1726,0.38574,-2.06920,-20.78791
32.2258,0.22021,-2.40904,-21.58228
32.2764,0.08848,-1.91313,-22.11878
32.3281,-0.06826,-0.45947,-22.17011
32.3812,0.14991,0.52166,-22.36539
32.4326,0.20652,1.73049,-21.85962
32.4863,0.48358,2.25653,-21.16641
32.5352,1.23019,1.54671,-20.76160
32.5919,1.02313,0.75895,-20.03264
32.6407,0.11509,0.58179,-19.74571
32.6914,0.66179,-1.02968,-19.61981
32.7441,-0.11510,-2.13284,-19.41591
32.7966,0.35379,-1.87641,-19.86847
32.8557,-0.02944,-1.30578,-20.22832
32.9007,0.39379,-1.03456,-20.47073
32.9525,-0.74849,0.85903,-20.69640
33.0043,-1.32593,1.81339,-21.47705
