"1";"gyro_xout";"gyro_yout";"gyro_zout";"accel_xout";"accel_yout";"accel_zout"
"1693";"-2164";"162";"-1209";"-452";"-4652";"18936"
"1694";"3369";"3745";"-1896";"-2584";"-4732";"10284"
"1695";"1550";"656";"-195";"-1952";"-7104";"10932"
"1696";"-3513";"-911";"1461";"-5980";"-8536";"17340"
"1697";"474";"-2235";"3613";"-384";"-7224";"17616"
"1698";"2620";"-847";"3124";"-1276";"-3196";"10576"
"1699";"2071";"-347";"1120";"704";"-7564";"12708"
"1700";"-1725";"1403";"976";"-160";"-10144";"15032"
"1701";"1790";"3284";"-1339";"-2092";"-2296";"19896"
"1702";"2681";"3419";"147";"-4756";"-4512";"13456"
"1703";"1112";"-301";"2800";"-2616";"-6532";"10480"
"1704";"-3352";"-1611";"1047";"-4044";"-7716";"15804"
"1705";"2013";"-1094";"2819";"-3380";"-4956";"17388"
"1706";"2387";"-2230";"3614";"-396";"-4736";"12404"
"1707";"1555";"-1143";"863";"-472";"-6604";"11220"
"1708";"-1580";"1422";"-732";"-2360";"-8644";"15704"
"1709";"-215";"4203";"-3487";"-4844";"-2940";"21528"
"1710";"2558";"5054";"-4567";"-4144";"-4624";"15776"
"1711";"2977";"2017";"-1461";"-3280";"-7016";"10060"
"1712";"-4418";"-1333";"318";"-4792";"-8932";"12304"
"1713";"2639";"-948";"1598";"-3428";"-5152";"18116"
"1714";"2367";"-2266";"2469";"-1104";"-5204";"11812"
"1715";"1835";"53";"-426";"-1204";"-7532";"10852"
"1716";"-2449";"1470";"-172";"-2348";"-7284";"15820"
"1717";"3940";"3096";"-2532";"-1056";"-5024";"18284"
"1718";"5039";"4844";"-2843";"-3280";"-3708";"12172"
"1719";"900";"-63";"1642";"-2932";"-7332";"10044"
"1720";"-4571";"-2317";"2435";"-4480";"-7808";"14776"
"1721";"4373";"-3231";"4499";"-580";"-5812";"12232"
"1722";"1736";"480";"1127";"-1480";"-4740";"12580"
"1723";"1647";"2150";"-2375";"948";"-4584";"8196"
"1724";"-1985";"2933";"-3164";"-2116";"-6148";"13968"
"1725";"-3265";"2608";"-2103";"-3052";"-9032";"17732"
"1726";"2066";"-2143";"4327";"-4908";"-10228";"17376"
"1727";"1076";"-1844";"3379";"-2584";"-5684";"11464"
"1728";"-2160";"-2488";"4275";"-2052";"-5584";"5928"
"1729";"-5406";"-2192";"-127";"-2980";"-8040";"17592"
"1730";"1420";"1546";"-2069";"104";"-10020";"19844"
"1731";"5327";"-1256";"519";"-240";"-8540";"12628"
"1732";"4712";"1397";"-1137";"956";"-5020";"6000"
"1733";"-1772";"3463";"-4110";"-2616";"-6612";"9928"
"1734";"-8330";"1941";"-2654";"-8440";"-9872";"23180"
"1735";"-388";"-345";"294";"-1220";"-6888";"16224"
"1736";"2942";"1455";"-1423";"-12";"-5016";"6980"
"1737";"-1773";"472";"-1380";"-3496";"-6864";"8692"
"1738";"-4844";"1046";"-2511";"-4172";"-5760";"14964"
"1739";"1851";"844";"-1995";"1216";"-11572";"19216"
"1740";"3959";"1360";"-1329";"1888";"-6564";"12436"
"1741";"-694";"1661";"-2038";"2856";"-6572";"11408"
"1742";"-6834";"399";"-2251";"232";"-6208";"25448"
"1743";"1109";"370";"412";"-5596";"-6296";"18944"
"1744";"4461";"2438";"-3255";"-1432";"-4816";"10236"
"1745";"1084";"475";"-228";"-3760";"-6592";"11324"
